Año	perim	peso
1998	21,3	98,2
1998	25,3	143,3
1998	27,6	150
1998	21,5	90,5
1998	22	98,3
1998	23,1	92,6
1998	22,5	102,9
1998	17	52,1
1998	21	83,7
1998	22	92,3
1998	23,2	105,1
1998	24,8	123,1
1998	21,1	82,1
1998	24,5	120,8
1998	24,9	126,4
1998	21,7	83,2
1998	17,6	47,2
1998	25,8	118
1998	22,3	97,3
1998	21,6	82,3
1998	19,1	66,9
1998	19	50,6
1998	16,6	42,5
1998	20,8	66,9
1998	26,5	129,9
1998	21,5	81,7
1998	15,6	33,7
1998	22	96,9
1998	21,7	90
1998	15	28,2
1998	16,2	36,2
1998	18,3	52,2
1998	15,6	40,1
1998	17,7	43,1
1998	20,5	81,4
1998	15,8	30,4
1998	19,5	58,3
1998	15,8	35,4
1998	13,9	26,5
1998	15,5	40,4
1998	18,6	65,1
1998	14,7	33,5
1998	17,5	48,2
1998	14	29
1998	18,8	58,8
1998	21,2	69
1998	18,1	47,7
1998	18	57,8
1998	15,6	31
1998	16,6	45,5
1998	18,1	54,5
1998	21,5	82,9
1998	19,3	74,6
1998	21,1	72,4
1998	18,2	58,6
1998	18,4	64,3
1998	21,9	83,6
1998	19,8	72,5
1998	15,6	36,6
1998	22,3	87,7
1998	17,3	50,9
1998	18	54,1
1998	22	89,8
1998	18,2	56,2
1998	18,7	59,6
1998	17,7	51
1998	19,8	61
1998	19,1	70,6
1998	16,6	44,4
1998	16,5	42,4
1998	21,5	94,3
1998	14,6	31,3
1998	13,2	23,1
1998	18,8	60
1998	16,4	39,2
1998	18,5	55,3
1998	18,9	60,8
1998	17,2	49,1
1998	18,5	62,4
1998	16,3	41,4
1998	17,1	45,6
1998	20,7	69
1998	16	36,7
1998	14,8	30,2
1998	13,4	24,2
1998	16,9	37,8
1998	14,2	27,7
1998	20	67,4
1998	12,7	17,1
1998	15,5	34,9
1998	16	40,9
1998	11,1	14,6
1998	17,3	46,1
1998	16,8	35,4
1998	13,3	24,7
1998	17,3	42,5
1998	18,7	58,2
1998	17,8	53,5
1998	17,9	50,5
1998	14,7	31,4
1998	18,5	56,8
1998	11,4	16,1
1998	15,5	37,1
1998	16,8	39,2
1998	15,5	38,9
1998	13,3	24,6
1998	8	7
1998	19,4	72,8
1998	24,1	117,9
1998	22,5	93,9
1998	19,4	82,9
1998	21	80,8
1998	21	92,3
1998	24	122,6
1998	22	92,7
1998	16,9	51,7
1998	21,1	95,9
1998	22,2	92,4
1998	21,4	97,7
1998	19,1	72,9
1998	21,5	95
1998	18,1	60,5
1998	16,5	42,9
1998	20,9	82,6
1998	19,1	82,7
1998	19	59,9
1998	23,5	98,9
1998	22,1	98,1
1998	22,7	90,3
1998	23,4	99,6
1998	23	93,6
1998	22,1	77,4
1998	21,6	91
1998	19,8	81,8
1998	19,5	70,2
1998	21	79,1
1998	19,2	75,9
1998	20,7	79,1
1998	18,3	66,2
1998	18,1	56,5
1998	21	78,2
1998	21,5	92,2
1998	21,7	102,8
1998	19,5	69,9
1998	22,5	90,1
1998	19	61,9
1998	21,5	82,3
1998	20,6	68,6
1998	18,6	54,3
1998	16,1	37,7
1998	16,5	42,9
1998	22	97,6
1998	18,3	53,4
1998	13,1	22,2
1998	17,2	41,8
1998	14,2	26,2
1998	15,1	30,9
1998	18,7	45,9
1998	19,7	63,2
1998	14,1	28,8
1998	19,2	59,5
1998	16,5	38,7
1998	14,2	25,5
1998	12,1	18,6
1998	15,9	32,1
1998	20,5	83,1
1998	18,5	52,2
1998	20,5	71,9
1998	15,7	41
1998	15,9	39,8
1998	14,5	30,2
1998	13,5	26,4
1998	17,5	51,6
1998	13,2	26
1998	18,3	57,8
1998	14,6	31,6
1998	15,3	32,4
1998	17,8	61,6
1998	13	25,3
1998	18,7	66,4
1998	14,5	33,6
1998	10,4	12,5
1998	16,2	41,8
1998	17,4	53,8
1998	16,6	46,9
1998	16,5	45,2
1998	16,6	45,2
1998	17,6	52,8
1998	16	35,3
1998	17,7	54,8
1998	17	42,9
1998	17,8	55,3
1998	15	34,3
1998	17	46,7
1998	15,5	34,2
1998	17,8	71,4
1998	14,3	30,2
1998	14,3	36,2
1998	17,4	50,3
1998	17,8	55,5
1998	15	35,3
1998	17,5	47,8
1998	17	52
1998	15,2	39,4
1998	11,3	18,8
1998	13,3	25
1998	17,2	55
1998	15,4	33,1
1998	14,8	25,5
1998	19,3	53,9
1998	13,6	23,2
1998	19,3	63,7
1998	16,1	36,3
1998	18,1	54,8
1998	15,7	36
1998	18,5	53
1998	19	53,5
1998	13,3	23,9
1998	16,2	42
1998	15,9	36,7
1998	16,7	42
1998	17,6	52,4
1998	17,2	41,4
1998	12,5	17,3
1998	14,5	28,6
1998	18,8	56,5
1998	18	50,6
1998	13,5	29,7
1998	15,6	30,6
1998	23,2	119,6
1998	20	87,3
1998	22,2	97,2
1998	21,2	86,9
1998	23,4	108,3
1998	20,6	84,8
1998	22	98,6
1998	22,3	99
1998	23,5	121,5
1998	23	123,1
1998	20,7	89,8
1998	23,1	117,9
1998	21	83,6
1998	23	108,4
1998	21,6	106,6
1998	17,6	49,2
1998	25,1	131,1
1998	21,4	100,6
1998	18,3	61,5
1998	22	89,3
1998	22,1	79,5
1998	17,2	55,1
1998	24,5	119,8
1998	21	74,5
1998	21,1	84,5
1998	22,6	101,6
1998	19,8	68,1
1998	20,9	89,3
1998	19,7	77,4
1998	19,5	76,6
1998	17,6	54,3
1998	22	101,4
1998	17,5	51,4
1998	14,5	35,6
1998	20,5	81,8
1998	14,6	31,3
1998	9,8	14
1998	15	38,1
1998	17	49,6
1998	13,3	26
1998	15,2	32,6
1998	14	28,6
1998	18,5	65,6
1998	14,3	33
1998	16,8	45,7
1998	18,2	64,4
1998	20,6	69,7
1998	16,9	26
1998	20,5	79,3
1998	16,3	42,9
1998	16,5	42,3
1998	18,6	56,6
1998	13,5	22,1
1998	16,2	37,5
1998	14,8	35,7
1998	20,9	73
1998	17,5	47,1
1998	21,7	84,2
1998	20,5	71,7
1998	18,7	56,3
1998	15,3	35,7
1998	17,1	47
1998	19,6	62,6
1998	19,5	66,4
1998	18	51,3
1998	19,2	57,9
1998	14,3	31,1
1998	19	54,4
1998	13,5	25,9
1998	21,1	71,8
1998	16	35,1
1998	13,6	23
1998	18,2	57
1998	17,4	47,3
1998	16,2	39,6
1998	14,3	24,8
1998	16	44,9
1998	17,1	47,2
1998	16,7	49,4
1998	18	55,1
1998	20,1	67,5
1998	13,8	25,6
1998	15	38,2
1998	17,1	48,2
1998	12,7	22,6
1998	16,3	48,2
1998	14,3	28,6
1998	19,1	66
1998	16,5	42,8
1998	20,2	72,7
1998	12,8	21,7
1998	19,7	69
1998	16	37,6
1998	21,7	96,5
1998	18,6	56,9
1998	15,7	35,8
1998	17,3	50,6
1998	19	42,9
1998	14,2	34
1998	18,4	65,6
1998	15,9	46,5
1998	18,4	57,4
1998	17,6	42,3
1998	15,9	39,5
1998	14,5	29,9
1998	18,5	61,5
1998	17	47,8
1998	17	46,8
1998	16	37
1998	13,3	25,5
1998	14,1	29,1
1998	14	31,4
1998	15,4	37,6
1998	15,2	36,7
1998	16,3	38,7
1998	15	33,8
1998	17	48,4
1998	20	82,8
1998	20,2	90,8
1998	19,7	78,6
1998	14,6	32,4
1998	18,6	64,3
1998	22,1	104,2
1998	23,3	106,8
1998	20,3	78,4
1998	19,7	72,9
1998	21	88
1998	19,6	73,7
1998	19,7	81,9
1998	21	84,9
1998	21,3	98,3
1998	21,5	91,6
1998	17,5	54,5
1998	18,2	57,3
1998	21	87
1998	21,1	99,3
1998	20,3	86,1
1998	19,1	12,9
1998	23	106
